Prof Name,Course Number
"Della-Savia, Maurice",DRFT 1302
"McGarvie, Bruce",DRFT 1316
"Palma, Ronald",DRFT 1352
"Della-Savia, Maurice",DRFT 1374
"Della-Savia, Maurice",DRFT 1375
"McGarvie, Bruce",DRFT 1379
"Miro, Carolino",DRFT 1380
"McGarvie, Bruce",DRFT 1385
"Palma, Ronald",DRFT 1391
"Palma, Ronald",DRFT 1392
"Palma, Ronald",DRFT 1393
"McGarvie, Bruce",DRFT 2100
"Palma, Ronald",DRFT 2100
"McGarvie, Bruce",DRFT 2107
"Palma, Ronald",DRFT 2107
"Wightman, Kelly",DRFT 2120
"Wightman, Kelly",DRFT 2125
"Palma, Ronald",DRFT 2130
"McGarvie, Bruce",DRFT 2213
"McGarvie, Bruce",DRFT 2214
"McGarvie, Bruce",DRFT 2286
"McGarvie, Bruce",DRFT 2287
"Palma, Ronald",DRFT 2293
"Palma, Ronald",DRFT 2294
"Palma, Ronald",DRFT 2295
"Palma, Ronald",DRFT 2296
"Rezazadeh, Fernanda",ECCE 1302
"Marychev, Rima",ECCE 1304
"McCarthy, Sarah",ECCE 1305
"McCarthy, Sarah",ECCE 1306
"Delgado, Ana",ECCE 1308
"Polsky, Jennifer",ECCE 2102
"Polsky, Jennifer",ECCE 2106
"Cheng, Carolyn",ECCE 2200
"White, Sim",ECCE 2200
"Cheng, Carolyn",ECCE 2300
"Goodman, Suticha",ECCE 2301
"Abalos, Karen",ECCE 2302
"Abalos, Karen",ECCE 2303
"Rezazadeh, Fernanda",ECCE 2313
"Rezazadeh, Fernanda",ECCE 2314
"Cheng, Carolyn",ECCE 2315
"Strachan, Cecilia",ECCE 2316
"Abalos, Karen",ECCE 2317
"Kiafar, Komela",ECCE 2317
"Marychev, Rima",ECCE 2320
"Strachan, Cecilia",ECCE 2320
"Neilson, Ileana",ECED 1301
"Rezazadeh, Fernanda",ECED 1301
"Neilson, Ileana",ECED 1302
"Rezazadeh, Fernanda",ECED 1302
"Strachan, Cecilia",ECED 1303
"Delgado, Ana",ECED 1304
"Marychev, Rima",ECED 1304
"Lin, Jack",ECON 1100
"Alan, Sheida",ELRT 1001
"Alan, Sheida",ELRT 1002
"Alan, Sheida",ELRT 1003
"Morgan, Scott",ELRT 1004
"Turnbull, Andrew",ELRT 1005
"Norenko, Iryna",ELRT 1200
"Amurao, Carl Patrick",ELRT 1201
"Amurao, Carl Patrick",ELRT 1203
"Alan, Sheida",ELRT 1204
"Morgan, Scott",ELRT 2001
"Gambhir, Arvinder",ELRT 2002
"Morgan, Scott",ELRT 2003
"Gambhir, Arvinder",ELRT 2004
"Norenko, Iryna",ELRT 2100
"Philip, Pheba",ELRT 2101
"Vasiljevic, Biljana",ELRT 2102
"Philip, Pheba",ELRT 2103
"Philip, Pheba",ELRT 2104
"Chow, Jennifer",ELSK 0515
"Kurylo, Jason",ELSK 0515
"Archeck, Gary",ELSK 0520
"Bowie, Laura",ELSK 0520
"Mitrovic, Svetlana",ELSK 0520
"Moi, Carolyn",ELSK 0615
"Sawkins, Tanis",ELSK 0615
"Wakabayashi Lee, Jane",ELSK 0615
"Beauchamp, Robert",ELSK 0620
"Ozdemir, Serg",ELSK 0620
"Reimer, Bonnie",ELSK 0620
"Endrizzi, Carla",ELSK 0715
"Longauer, Ray",ELSK 0715
"Ozdemir, Serg",ELSK 0715
"Chernen, Joann",ELSK 0720
"Howrigan, Cheryl",ELSK 0720
"Theny, Janet",ELSK 0720
"Worrall, Blair",ELSK 0720
"Caborn, Calvin",ELSK 0815
"Ravensbergen, Ian",ELSK 0815
"Wadler, Emily",ELSK 0815
"Jurlina, Nikola",ELSK 0820
"Ninan, Trisshna",ELSK 0820
"Wadler, Emily",ELSK 0820
"Lillis, Katie",ELSK 0915
"Lillis, Katie",ELSK 0920
"Ivits, Shantel",ENGL 0300
"Ivits, Shantel",ENGL 0600
"Ivits, Shantel",ENGL 0611
"Ivits, Shantel",ENGL 0612
"Ivits, Shantel",ENGL 0613
"Ivits, Shantel",ENGL 0621
"Ivits, Shantel",ENGL 0622
"Ivits, Shantel",ENGL 0623
"Ivits, Shantel",ENGL 0631
"Ivits, Shantel",ENGL 0632
"Ivits, Shantel",ENGL 0633
"Ivits, Shantel",ENGL 0641
"Ivits, Shantel",ENGL 0642
"Ivits, Shantel",ENGL 0643
"Ivits, Shantel",ENGL 0651
"Ivits, Shantel",ENGL 0652
"Ivits, Shantel",ENGL 0653
"Ivits, Shantel",ENGL 0661
"Ivits, Shantel",ENGL 0662
"Ivits, Shantel",ENGL 0663
"Lefaivre, Jillian",ENGL 0750
"Read, Jennifer",ENGL 0750
"Tremblay, Lisa",ENGL 0750
"White, Jordan",ENGL 0750
"Lefaivre, Jillian",ENGL 0752
"Manning, Garth",ENGL 0752
"Read, Jennifer",ENGL 0752
"Tremblay, Lisa",ENGL 0752
"White, Jordan",ENGL 0752
"Lefaivre, Jillian",ENGL 0861
"Lukits, Sherry",ENGL 0861
"Manning, Garth",ENGL 0861
"Tremblay, Lisa",ENGL 0861
"Manning, Garth",ENGL 0871
"Tremblay, Lisa",ENGL 0871
"Hills, KJ",ENGL 0981
"Lefaivre, Jillian",ENGL 0981
"Lukits, Sherry",ENGL 0981
"McKay, Sandra",ENGL 0981
"Parker, Jane",ENGL 0981
"Sedlar von Svojic, Mia",ENGL 0981
"Hills, KJ",ENGL 0991
"Lefaivre, Jillian",ENGL 0991
"Manning, Garth",ENGL 0991
"McKay, Sandra",ENGL 0991
"Patterson, John",ENGL 0991
"Manning, Garth",ENGL 0992
"McKay, Sandra",ENGL 0992
"Manning, Garth",ENGL 0994
"Loveday, Jolene",ENGL 1001
"Roszell, William",ENGL 1002
"Perras, Laurent",ENGL 1100
"Read, Jennifer",ENGL 1100
"Trankner, Mark",ENGL 1100
"Loveday, Jolene",ENGL 1101
"Roszell, William",ENGL 1102
"Loveday, Jolene",ENGL 1200
